,"(1, 'mean')","(2, 'size')",3,4
Miramar,0.688555184,1,25.98,-80.33
Mobile,0.22634464375,12,30.68,-88.09
Modesto,0.65386017,1,37.66,-120.99
Montgomery,-0.30449196874999995,4,32.35,-86.28
Naperville,-0.09415519955555555,18,41.76,-88.15
Nashville,-0.0735869012631579,19,36.17,-86.78
New york,0.805339123,1,40.67,-73.94
Newark,0.05981829599999999,2,40.72,-74.17
Norfolk,0.5166017383333333,3,36.92,-76.24
Norman,0.7349569084,5,35.23,-97.34
Norwalk,0.44885035799999995,1,33.91,-118.08
Oakland,-0.10599658100000003,11,37.77,-122.22
Oceanside,0.583996904,2,33.23,-117.31
Olathe,-0.523892244,1,38.89,-94.81
Omaha,-0.02836482545454547,11,41.26,-96.01
Ontario,0.07501517808000001,25,34.05,-117.61
Orange,-0.786542113,1,33.81,-117.82
Orlando,-0.09293744160714287,28,28.5,-81.37
Paradise,-0.24841537533333333,3,36.08,-115.13
Pasadena,0.9514171020000001,1,29.66,-95.15
Pasadena,0.9514171020000001,1,34.16,-118.14
Peoria,0.862606628,1,33.69,-112.24
Peoria,0.862606628,1,40.74,-89.61
Philadelphia,-0.12153374248275861,29,40.01,-75.13
Phoenix,0.054479902884615385,26,33.54,-112.07
Pittsburgh,0.0632623534102564,39,40.44,-79.98
Portland,-0.09284181345238093,42,45.54,-122.66
Portsmouth,0.92322575,1,36.86,-76.36
Provo,0.8773558694999999,2,40.25,-111.64
Pueblo,-0.510769335,1,38.27,-104.62
Raleigh,-0.5590944374285715,14,35.82,-78.66
Reno,-0.02156012849999997,8,39.54,-119.82
Richardson,-0.036791703499999995,12,32.97,-96.71
Richmond,-0.5327020255,6,37.53,-77.47
Richmond,-0.5327020255,6,37.95,-122.36
Riverside,-0.775103766,1,33.94,-117.4
Roanoke,0.1566698661034483,29,37.28,-79.96
Rochester,-0.288859639625,8,43.17,-77.62
Rochester,-0.288859639625,8,44.01,-92.48
Roseville,-0.43483182600000003,1,38.76,-121.29
Sacramento,-0.12587580550000002,18,38.57,-121.47
Salem,-0.026100676058823533,17,44.92,-123.02
Salinas,-0.949421738,1,36.68,-121.64
Savannah,0.31695867475000006,4,32.02,-81.13
Scottsdale,0.3894175085,6,33.69,-111.87
Seattle,-0.05539851884375,32,47.62,-122.35
Spokane,0.16035197149999994,12,47.67,-117.41
Springfield,0.20462475066666674,12,42.12,-72.54
Springfield,0.20462475066666674,12,37.2,-93.29
Springfield,0.20462475066666674,12,39.78,-89.64
Stamford,0.407571881,1,41.1,-73.55
Stockton,0.13549068333333336,3,37.97,-121.31
Sunnyvale,0.627054604,1,37.39,-122.03
Syracuse,-0.9935627359999999,1,43.04,-76.14
Tacoma,-0.04453673050000004,4,47.25,-122.46
Tallahassee,0.51885347325,4,30.46,-84.28
Tampa,-0.054212758124999996,16,27.96,-82.48
Tempe,-0.21960493299999997,12,33.39,-111.93
Toledo,-0.11538257000000002,3,41.66,-83.58
Torrance,0.654742568,1,33.83,-118.34
Tucson,-0.06154494616666668,36,32.2,-110.89
Tulsa,-0.5925464348571429,7,36.13,-95.92
Vancouver,0.133646393,6,45.63,-122.64
Visalia,-0.0924903775,2,36.33,-119.32
Vista,0.3249967046,5,33.19,-117.24
Waco,-0.8598622029999999,1,31.57,-97.18
Warren,-0.941044118,1,42.49,-83.03
Washington,0.012715147742187488,128,38.91,-77.02
Westminster,-0.682027927,2,39.88,-105.05
Wichita,-0.11344512599999997,3,37.69,-97.34
Wilmington,-0.13373208016666668,6,34.21,-77.91
Worcester,-0.02884188750000001,4,42.27,-71.81
Yonkers,-0.955992063,1,40.95,-73.87
