b'@Hameetemannetje @hanneke19572010 @erikmouthaanRTL @jeremycorbyn Welke #Palestijnen? Je hebt de #Joodse &amp; #Arab Pal\xe2\x80\xa6 https://t.co/LDbGcu6DcP',"Boston, MA"
"b'@walls_vo This game has been long, confusing, and very entertaining'","Georgia, USA"
b'I really don\xe2\x80\x99t wanna work \xf0\x9f\xa5\xba',"McAllen, TX"
"b'This one\xe2\x80\x99s for you, @adamhattan! https://t.co/kakRTTpOlL'","Iowa, USA"
b'Rooting for Alabama FG here so this game goes to OT. What a game! #IronBowl #WarEagle I want MOAR!',"Harrison, AR"
"b'@Gregorycastell4 De una vueltecita por San Pedro, el sur, o la Romana!'",Montreal
b'\xf0\x9f\x91\x87\xf0\x9f\x8f\xbd',"Dallas, TX"
b'@SkiiSlopeCorbs down. tryna get a free willy pt 2',berk
b'TEST_PLACE: 2dd2e500-fb9b-4ee0-ae2d-d9cdb554ef9f',None
b'Jajajajajajajaja... La hermana del desaparecido...',"Puebla, México"
"b'Kid gives everything he has everytime he steps on the field, ill go to war with him any day of the week'","Caldwell, NJ"
b'Now that was a tackle!!!\n\n#EMAW',Manassas VA
b'@realDonaldTrump Yes they are\xf0\x9f\x98\x8d',"Hoboken, NJ"
b'Good evening everybody! This is just a reminder \xe2\x80\x94 1 service tomorrow morning at 9:45am! Join us for this first Sund\xe2\x80\xa6 https://t.co/3FIn2XbCq4',"Virginia, USA"
b'Just realized my Twitter is really a Twitter-gram considering the amount of photos I post... whoops',"Connecticut, USA"
b'Why did everyone hate on Ben Wyatt for his love of calzones??? Calzones are incredible',Pittsburgh
b'@laurasnapes The patriarchy victimizes everyone.',"Philadelphia, PA"
b'Stfu \xf0\x9f\x98\x82',None
b'@RevGrey @AdamSampson @MemorialBH What is taize service',"Baltimore, MD"
b'another false start \xf0\x9f\x91\xbf\xf0\x9f\x91\xbf\xf0\x9f\x91\xbf',"Everywhere,USA"
"b""@CyaNYDE290 You definitely are cute, fuck those people who say you aren't""","Shelbyville, TX"
b'@RockStetty Eating with the blue hairs sonny',Playground of the first son
b'Thanks to @livefromhereapm for making being stuck in traffic on the Mass Pike a little more bearable tonight. Our g\xe2\x80\xa6 https://t.co/dKDuFARxtw',"Concord, NH"
b'Truth. Man I love that movie.',LA
"b'Is wack, I\xe2\x80\x99m just trying to spoil someone\xe2\x80\x99s son already \xf0\x9f\x98\xb4'",None
b'I hate when dudes call there hole pussy..I\xe2\x80\x99ve fucked pussy before..I know the difference..asshole is your hole..not a pussy!',"Toronto, Ontario"
b'@realDonaldTrump https://t.co/q76GOnylEy',None
b'C\xe2\x80\x99mon fellas!',"Collinsville, MS"
b'Not a terrible day #Schaumburgturkeytrot https://t.co/SwQm304Mum',"Joliet, IL"
b'False start drinking game?',"Huntsville, AL✈️Tuscaloosa, AL"
"b'Watching this #IronBowl you realize \xe2\x80\x98It Just Means More\xe2\x80\x99 isn\xe2\x80\x99t just the slogan of the @SEC, it\xe2\x80\x99s Legit. These kids\xe2\x80\xa6 https://t.co/ZSbvXfkQyJ'","Kentucky, USA"
"b""Looking to score a job at Kelly Services? You're in luck. Click the link in our bio for the job description and inf\xe2\x80\xa6 https://t.co/zZBxFePRC2""","The Peninsula, CA"
b'@DHx34 Two pick 6\xe2\x80\x99s tell a different story. It\xe2\x80\x99s not all on the D but you\xe2\x80\x99re right. D has to step up or else it\xe2\x80\x99s a loss',None
b'This how me n Seemo was mfs thought we was real girls ... pressed ... y\xe2\x80\x99all better make sure he practicing giving b\xe2\x80\xa6 https://t.co/MjNTpsiwjX',"Minnesota, USA"
"b'@ESPNCFB Nice fresh meme, probably got a crying Jordan ready for the ending'","Chicago, IL"
b'@BarstoolTrent Bama Trent https://t.co/nYX0aIHkuJ',"Washington, DC"
b'@andylovesapples Also Ghostbusters 2',"Hamilton, NY"
"b""@vintagegalholly Oh, heavens. I've delt with ISWV chuds for so long I read that as Lemoine.""",San Diego
b'@TeamTrump @realDonaldTrump @SpeakerPelosi Same reason #moscowmitch will not give over 400 bills to be voted on by the Senate',"Zimmerman, MN"
b'How are people my age affording engagement rings and houses ??? I live paycheck to paycheck and are still drowning\xe2\x80\xa6 https://t.co/svUQ9UlZoA',Stars Hollow
b'Saturdays are for the Birds https://t.co/GrmIYpTEx8',"Massachusetts, USA"
b'@RG3fromdabity1 @BenStinar Facts ..it might not be the old melo but it\xe2\x80\x99s still better than a lot of people',In The Gym
b'Farewell #Boston Thanks for all the good times.\n\n N\xc3\xa4chster Halt #Berlin! https://t.co/C4jiBXlm3O',"Cambridge, MA"
b'@JuniperUponHill I was thinking of doing the same thing',Minnesota
b'@EasyVC I\xe2\x80\x99ll DM is parol officer',"Chicago, IL"
b'@ExposureD1 Check out Floyd\xf0\x9f\xa4\x98\xf0\x9f\x8f\xbe (@FloydDozier): https://t.co/VkNO1MwPbn',None
b'@BenMoore247 People always underestimate what a really good kicker can do for your team',"Atlanta, GA"
"b'@CoachVass OK Boomer. LOL.\n\nIt gets really, really old. Especially when we deal with youngsters on a daily basis an\xe2\x80\xa6 https://t.co/bMIgCwGLNd'","Polk City, IA"
b'He ain\xe2\x80\x99t taking no hits \xf0\x9f\x98\xb9',"Kentucky, USA"
"b""I'm at @VictoriasSecret in Baltimore, MD https://t.co/rY02soovvA""","ÜT: 39.092421,-76.860191"
b'@polosylas Send it to me in the dms',"Chicago, IL"
b'THE MOVIES THAT MADE US - NETFLIX. Do it!',"Los Angeles, CA"
b'Nomore blonde :)) I\xe2\x80\x99m a red head now',God First Always #RipGrandma
b'@Tougie24 https://t.co/1jjCxrcZNV',MA
b'\xe2\x80\x9cDon\xe2\x80\x99t just pretend to love others. Really love them. Hate what is wrong. Hold tightly to what is good. Love each o\xe2\x80\xa6 https://t.co/uKpsolrcVb',Reciprocated Energy
b'At what point do you stand before your fans and admit \xe2\x80\x9cwe are really not that good?\xe2\x80\x9d  We need to rethink who we rea\xe2\x80\xa6 https://t.co/v8rcHoOroG',"Florida, USA"
b'I\xe2\x80\x99m Drunk....\nSend Your Cuffing Resume For Review....',"Blackcity, TN"
b'\xf0\x9f\x98\x82\xf0\x9f\x98\x82',"Mississippi, USA"
b'Just imagine being an Auburn fan and realizing you have to rely on Gus to out-coach Saban to win this game in the end......\xe2\x98\xa0\xef\xb8\x8f',Somewhere In The Woods
b'@SteveTiger999 @holdingupsky @theosib2 I watch it every Saturday night.',Tallahassee FL - NO LISTS!
b'https://t.co/2tCmNUgTZV',"Roswell, GA"
b'@1wayjeremiah They will be better soon tho. They just have soo many diff coaches every year',"Norfolk, VA"
b'@kdotmart @P_Potamus % of capacity filled',"Chicago, IL"
b'Lmao cut it out.',"Chicago, IL"
b'@Love_Josten Lmao omg sis not the pop ups \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 ENERGY',"Nashville, TN"
b'Hope Everyone had an Awesome Thanksgiving with their loved ones. Cheers to the weekend! God Bless!!! https://t.co/qq4MTl0Nwz',PASADENA/HOUSTON TEXAS
b'@jaeblesss Happy Birthday!!  \xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\xbc\xef\xb8\x8f\xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0',✨Atlanta 
"b""I'm contentedly exhausted after training today. I've got an amazing manager making things happen for me.\n\nLooks lik\xe2\x80\xa6 https://t.co/NZgsefCxzS""","Chiang Mai, Thailand"
b'went to sephora with 0 intentions and spent 170????? How',"Los Angeles, CA"
b'Apex a bitch',None
b'@avanatalle my crush in 7th grade told me i was a 6 out of 10 and i think about that every time i flirt with someone',None
b'Nuggets have been outscored 48-32 in the second half.',"Denver, Colorado"
b'@spadot9 @spencer_sandlin @SportSourceA You are either blind or wearing chicken colored glasses. That was a cheap s\xe2\x80\xa6 https://t.co/k8cMpLDUqz',"Ninety Six, SC"
b'Wanna play this so bad',Wisconsin
b'Oak Harbor takes over at their own 31.',"Kirtland, OH"
b'3rd &amp; 11 for the Ironmen after two negative run plays. #NJFootball',The Garden State
b'hate to see it \xf0\x9f\x91\x80',"Bradenton & Sarasota, FL"
b'Ayo somebody was in there sculpting this',"Greensboro, NC"
b'Idris Elba as a super human bad guy in Hobbs and Shaw. If Im on the team to catch/fight him id be like https://t.co/KGnxKgF8nb',"Kansas City, MO"
b'But god forbid a Dem stands up for Palestinians.',"Palm Bay, FL"
b'@camilinpezz b\xc3\xa9same',"Chapel Hill, NC"
b'Haha man he just does that',"Annapolis, MD"
"b'conversando com uma mulher no shopping\n- ah vc \xc3\xa9 brasileira? que legal eu j\xc3\xa1 estive l\xc3\xa1, \xc3\xa9 um pa\xc3\xads muito bonito foi\xe2\x80\xa6 https://t.co/zv843Xls4J'","California, USA"
"b'Work ethic, Ingenuity and perseverance is available to all and an even greater asset for future success on any team\xe2\x80\xa6 https://t.co/MWSDYVw86d'",Chicago
b'I can\xe2\x80\x99t remember the last time I napped on purpose',Brooklyn
"b'THANK you, Ellen McCleod ( and Paul McCleod- your mimosas were delicious!), for another year of Christmas ""crack"" t\xe2\x80\xa6 https://t.co/9sbfuBrHA9'",Orange County Coastal Cities
b'@Deejay_whiz @tlamatini_B Lol.. \xf0\x9f\x98\x82\xf0\x9f\x98\x82\nNnaa eeh',"Stone Mountain, GA"
b'I miss Farouq saying \xe2\x80\x9csparky sparky?\xe2\x80\x9d',"San Diego, CA"
b'@TheFlyAuntie https://t.co/1jelkuX0sN',Growing 🌱
b'@NFL2Ucla @gregolsen88 @LevineChildrens Me',None
b'@JessicaRoca14 Pip pip',None
b'Stop by our booth next Sunday Dec. 8th from 1-7pm at the @greenpointers #holidaymarket and #elfyourself The price f\xe2\x80\xa6 https://t.co/jHrY4ZsyGq',"NY,NC"
b'Stunning!! \xe2\x9d\xa4\xef\xb8\x8f',"South Carolina, USA,"
b'@hoorayforeric @_caseygillespie Eh. We basically closed them out in the 3rd quarter. Played conservative the whole 4th.',"New York, NY"
b'@hugosac @ArmandoSantamx @les_illustra @fisgonmonero Evo los mata por pensar diferente. Nombra un pa\xc3\xads socialista q\xe2\x80\xa6 https://t.co/MC5HqGNk40',"Katy, TX"
b'@spencecoin Will you be my doctor?',"Manhattan, NY"
b'@LiteraryBeardo @liprap @cassie_complex the original icon https://t.co/wOlDzqXfHW',below houston; above sea level
"b'@CaliforniaRomeo I don\xe2\x80\x99t know if you\xe2\x80\x99re glowing cuz I can\xe2\x80\x99t see you on a daily basis, but you\xe2\x80\x99re defo doing better\xe2\x80\xa6 https://t.co/gxd8Tqz2VO'","Texas, USA"
"b'Just posted a photo @ Hampton, Virginia https://t.co/8Ke1KsZL13'",Dela-where??
b'\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad https://t.co/tvBV56aS0N',Out Delaware
b'If anyone wants a free boyfriend they can have mine.',"Edinburg, TX"
b'@courtneyraygosa \xf0\x9f\x98\xac',None
b'my faceID needs to get over it and detect me w my glasses on',"Hialeah, FL"
b'@SavWeirdo @lobricks3 @SapphoMode Yeah uwu',your bathroom clogging your 🚽
b'Leggoooo Auburn!!!!',"Oxford, MS"
b'@LovelyLos7 \xf0\x9f\x98\x89\xf0\x9f\x98\x8c',"Denver, CO"
b'@DebbynGene I\xe2\x80\x99ve had it since early Friday morning I woke up at 4 am with it',"Goldsboro, NC"
"b""@CourtneyBot_XX @JakeKGives Looks like they may have got over on us. Haven't heard back anything yet. Will keep posted.""",TX
b'@sapphire2673 \xf0\x9f\x98\x8a\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc',🇺🇸Indiana🇺🇸
b'@COOASSMEECHlE Boy lmaooo',"Detroit, MI"
b'Shoulda ran a PA on that one cuz',"Atlanta, GA"
b'@318taylorr @DJJcoreyLamar Aye bro',Always laughing📍
b'\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbc',US
"b'Just posted a photo @ Newberry, South Carolina https://t.co/19kooCAzDS'","Newberry, SC"
b'Offensive line is killing us tonite. We need to get it together.',"Crenshaw, Los Angeles"
b'No. Lots of speculation though.',"Colorado, USA"
b'I fucking miss ocean city',South Jersey
b'Nick Saban is going to drop dead on this field rn \xf0\x9f\x98\xb3',Portland ↔ San Jose
b'\xf0\x9f\x98\x82',None
b'@Kica333 https://t.co/FqQduWLJ5p',"Los Angeles, CA"
b'Can\xe2\x80\x99t wait till I\xe2\x80\x99m old and see a Snapchat memory from 30 years ago',None
b'@marywizchicago @robertloerzel And yet there\xe2\x80\x99s a lying disclaimer that any resemblance between a screen character s\xe2\x80\xa6 https://t.co/3wDHw8rsEp',None
b'I know tha Bullshit comin fast cause im moving slow',In da hood like tha motor
b'110 hrs ON THIS CH',"Atlanta, GA"
b'Nothing makes the Midwest Fire team more happy than hearing about our trucks performing for #firefighters and helpi\xe2\x80\xa6 https://t.co/W7QdY18O5C',"Luverne, MN"
b'I put my makeup on and did my nails just to be crying in my room on a Saturday night',"Corn Everywhere, Illinois"
b'@joof_dub absofuckinlutley',LakeHOOD colorado 
b'@SaraCarterDC @RepGregoryMeeks @TheDemocrats Because it\xe2\x80\x99s all not true.',"Chicago, IL"
b'BUDDY https://t.co/cuIQyvVcG1',None
b'@Justme_DJ3 Love dat for u\xf0\x9f\x98\x8a\xf0\x9f\x98\x82',None
b'@zoilathezebra My sincere condolences.   May she RIP! \xf0\x9f\x92\x9c\xf0\x9f\x99\x8f',None
b'Imagine that',"Tuscaloosa, Alabama"
b'Good sleep is a huge part of being successful',D(M)V
b'The journey not the arrival matters! https://t.co/PWpKVRGUeU',ضاحيةالسلام | Kuwait
b'Watching that young girl ring the bell to signify the end of her cancer treatment at centre ice just now brought a\xe2\x80\xa6 https://t.co/EiYtV6FXQo',"Toronto, ON"
b'@_Concretee You know what?... aight ima head out. \xf0\x9f\x98\x8f https://t.co/w4IKCAcOmE',"District of Columbia, USA"
"b'@PhilMackey You forgot ""coached"" at the end of that sentence. That was the biggest difference today. One team was a\xe2\x80\xa6 https://t.co/3uQ9iMSpno'","Minneapolis, MN"
b'@SquishLeaks @lucarny_ I\xe2\x80\x99m thankful for my country. My fellow service members. My 3 year old son and my family and\xe2\x80\xa6 https://t.co/t2iU6SD3td',"Maryland, USA"
b'My Dick Is 14.8 Inches Long Uncut &amp; White.. I Own The Biggest Thickest Penis On Earth!!\xf0\x9f\x8d\x86\xf0\x9f\x8d\x86\xf0\x9f\x8d\x86\xf0\x9f\x8d\x86\xf0\x9f\x8d\x86\xf0\x9f\x98\x81\xf0\x9f\x92\xaa\xf0\x9f\x90\xb4#ViralVideos\xe2\x80\xa6 https://t.co/atqP7A3Smp',Uranus
b'Yo animando cuando mis amigas se sienten equis. \xf0\x9f\x99\x8a https://t.co/lgpRm9hfWr',"Monterrey, Mexico"
b'Oh he losing it \xf0\x9f\x98\xad',"Newark, NJ"
b'@AdorkableLuLu I had vegan papas con soyrizo',"El Paso, TX"
b'I really gotta fat ass d*ck.',"Bronx, NY"
b'@DevDeDude You\xe2\x80\x99re going to be that kind to your secret wife and space them out?',None
b'https://t.co/9rg6y6XX4X',"Kalamazoo, MI"
b'The London attacker certainly took the load off of Prince Andrew for awhile. Could this have been-a false flag to d\xe2\x80\xa6 https://t.co/Y7PeaITp8a',None
b'#sold #ebaysold #bolo https://t.co/qqwmySBAlz #urbanpicker #helferstay #saintlouis #ebayseller #thriftstorefinds\xe2\x80\xa6 https://t.co/3iR9QBM8RT',"Maryland Heights, MO"
"b""This is on either Mac or Landon. There's no other explanation.""","Houston, TX"
b'I\xe2\x80\x99d just like to say that I witnessed this and it was both the funniest and saddest thing I\xe2\x80\x99ve ever seen in my life',"Brooklyn, NY"
b'@GrimXCVI @kiralighty001 @Magical_Worker @IGN Nice profile. Go play with your toys and shut up.',"Atlanta, GA"
"b'Studying immuno-precipitation, thinking about her. https://t.co/nuuSLHNVT0'",None
"b""@BCB_Sara if Ala wins or loses the committee can't be impressed right? Auburn managed how many points vs UGA? Curre\xe2\x80\xa6 https://t.co/x6sQgDZvlY""",None
b'lmfaooo ayo chill',"Brooklyn, NY"
b'We won a trophy and I put Quinn in it! #nutmegclassic #champs @p8photos https://t.co/59maCqmle0',None
b'Ya volv\xc3\xad a caer',"Hermosillo, Sonora"
"b""The following logos use a maple leaf for a comma in Canada: denny's, wendy's\n\nI will update this list when I spot more examples.""",Los Angeles
"b'@Zori_Lucero1 Un bate probado en la liga, lo botan con 8 turnos. \xf0\x9f\x99\x86\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\xa4\xa6\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'",Bonao/Estados Unidos
"b'You know what\xe2\x80\x99s scary. Viska could have been on this Bama team with Ruggs, Jeudy, Smith and Waddle.'","Missoula, MT"
b'View tonight #FlaPanthers https://t.co/nSb3zieLUL',"Lowly, Florida, USA"
b'Happy #CATURDAY  https://t.co/KJnrXNLppc @rosirivera261 @CONTEMPRA_INN\xf0\x9f\x8c\xb9',⚜️New Orleans-Kenner⚜️
b'Want... https://t.co/bM1RhHAyzR',"Toronto, Ontario"
b'Dougie so fresh!\n.\n.\n.\n.\n.\n.\n.\n#ZumbaRashid #ZumbaInstructorNetwork #ZIN\n#zumbafitness. #zumba #fitness #zumbalove\xe2\x80\xa6 https://t.co/lnveSJgLxv',Worldwide
"b'If it\xe2\x80\x99s out of town, I might just join the fun , but anything else nahh I\xe2\x80\x99m good'",somewhere dancing.
b'Toxic',"Oakland, CA"
b'@Wichita_Scanner Haaaa.....',"𝚆𝚒𝚌𝚑𝚒𝚝𝚊, 𝙺𝚂"
b'@904Raised_420 Glorious My Boy Just Glorious https://t.co/9WmSPjBqqV',"St.Petersburg,FL"
b'The fact I have to work tonight? Ass the money I\xe2\x80\x99ll be getting? Nice',Merry Chrysler
b'Wilson getting up dea',bay area
b'He\xe2\x80\x99s so Louisiana now',The River Court
b'@AaronJFentress The game will be over by halftime. This offense is broken with Justin Herbert.',"Chicago, IL"
b'love when i don\xe2\x80\x99t have to ask and he just do it',"Hattiesburg, MS"
b'I was today years old when I found out my car is silver and not grey \xf0\x9f\xa4\x94\xf0\x9f\xa4\x94',Surulere/ D[M]V
b'@Louis_Tomlinson YES! https://t.co/sal2XSpNRr',None
b'What yall doing tonight?',dtx 📍
b'\xf0\x9f\x8e\xad https://t.co/lIMB34dCUL',None
b'@cansadaempanada Oh . well . um ... \xf0\x9f\xa5\xba.',"Boulder, CO"
b'looks like it may be his shoulder. can\xe2\x80\x99t remember if this was his previously injured one but definitely not good.',"columbus, ohio"
b'Smdh lolll',None
b'#CHRONICCANDY HOLIDAY HOUSE PARTY!! #MANSIONFLOW #MansionBoyzLv #SumnerlinCrowd1\n#Chuuuch #Preach #Tabernacle @ Rai\xe2\x80\xa6 https://t.co/1a7IEIjE3o',"Brooklyn, New York"
"b'Tea, long talks, and winter-y walks on a November day \xf0\x9f\x92\x99 @ Cultivate Tea https://t.co/1AoOeMSolG'","Vancouver, British Columbia"
b'@hitRECordJoe The book of they.',"British Columbia, Canada"
b'they hate to see it\nbut this photography stuff is so much fun . https://t.co/oYknuyaE5E',"Wichita, KS"
b'Undiscipline.',None
b'It\xe2\x80\x99s like no matter how much I eat I\xe2\x80\x99m never full',"Maryland, USA"
b'On Wisconsin and I hope Michigan fires Harbaugh and he goes to Dallas bc peak gridiron hatred is hard to come by',"Mount Vernon, WA"
"b'why is it raining , ruining my saturday .'","Dayton, OH"
"b""@Fah_Lo_Me @WordswithSteph Trump has his records hidden so it's hard to say.""",USA
b'Beautiful but not sure \xf0\x9f\xa4\x94 why the applause when Eve takes the apple \xf0\x9f\x8d\x8e!\xf0\x9f\xa4\x94\xf0\x9f\x98\x82.  \xf0\x9f\x99\x8f\xe2\x9c\x9d\xef\xb8\x8f\xf0\x9f\x87\xba\xf0\x9f\x87\xb8',None
b'DSS 24 carrier lock on Geotail\nFrequency: 2.2599GHz\nSignal strength: -96dBm\nIDLE OFF 1 MCD2',"Goldstone, Madrid, Canberra"
b'@TomLea09 Not sure I agree. Ski u mah',"Issaquah, WA"
"b'@gtconway3d @realDonaldTrump Do you realize your tweet value, etc., without your wife? Count to ten again.'",None
b'I meant hear hear - Alabama related stress syndrome. #RollTide',"San Francisco, CA, USA"
b'@AndySoukup @JVA222 @PyleKeterson Peak performance',Milwaukee
b'@KidRock https://t.co/8wLZGbkCMk',"Arlington, TX"
b'Alex Leatherwood needs to run laps. RUN LAPS. for these false starts.',"Charlotte, NC"
b'Lord knows I\xe2\x80\x99m praying',"Lincoln, ÅŁÅßÅMÅ"
"b""@or_huh I don't think we lose to the Ravens. We sure as hell won't lose to the Saints. Their QB is a statue just waiting to be sacked.""",Somewhere in Texas
b'What are the best ways to get those little moments of rest on days you have back to backs? @PredsNHL #HuntsBrotherPizza',The Boro
b'The smiles tell it all!  Awesome ride today with fellow #vcwheelman Dr. A.\n#vcaa #vcnation #vcwheelmen #getoutside\xe2\x80\xa6 https://t.co/AVbdLON8oy',Vancouver BC
